architecture,K,epoch,matched_mean,matched_std,shuffled_mean,shuffled_std,n_seeds
mlp,79,22,-0.00597186530310829,0.012284388934578706,0.00010743746611205189,0.0053401160730360666,5
mlp,79,23,-0.005870480217966563,0.012451822865526173,9.495727388707034e-05,0.005382964418077262,5
mlp,79,24,-0.005751231154560844,0.012657935558340671,7.717231918210887e-05,0.0054189527614295074,5
mlp,79,25,-0.0056142035701391615,0.012901927514344892,5.526101609492663e-05,0.005449502974609283,5
mlp,79,26,-0.005468474913452602,0.013193972639220222,3.000421538451731e-05,0.0054751958624124205,5
mlp,79,27,-0.0053061097376160115,0.013519812868427877,4.09118956285464e-06,0.005496118639375005,5
mlp,79,28,-0.005133051470739161,0.013871354935263664,-2.0437298249124936e-05,0.005511967265274735,5
mlp,79,29,-0.004954612293773384,0.014234891275633226,-4.173712479272757e-05,0.005522960453329335,5
mlp,79,30,-0.004776733571683192,0.01459286813937337,-6.045210739076961e-05,0.005531578016643307,5
mlp,79,31,-0.004614905903977069,0.014944554589162773,-7.599204421584426e-05,0.005536519791350935,5
mlp,79,32,-0.004467952559270712,0.015301521637990067,-8.667241870073759e-05,0.005539426017044617,5
mlp,79,33,-0.004328973349068866,0.015636753409297453,-9.30932053703315e-05,0.005542073946764255,5
mlp,79,34,-0.004182230346958728,0.015966234997103895,-9.722534028006636e-05,0.005544360293282959,5
mlp,79,35,-0.0040241400999324415,0.01627812737775552,-0.00010332672272738794,0.005544304007675066,5
mlp,79,36,-0.0038530152548627065,0.016574514236196648,-0.00011176573061998183,0.005543657143372931,5
mlp,79,37,-0.0036682159796920396,0.01684572787839587,-0.00012253593650583607,0.0055432163813493255,5
mlp,79,39,-0.0032686073663332855,0.01733046677962507,-0.00015897095757643685,0.005531385233943218,5
mlp,79,40,-0.0030582787056662513,0.017582479846742917,-0.00018634328052468204,0.005519862918336162,5
mlp,79,41,-0.002844299446739528,0.01784601787370535,-0.0002181416568280142,0.005504989304333672,5
mlp,79,42,-0.0026212223795352534,0.018114352728656143,-0.0002511121758214746,0.005485680548427797,5
mlp,79,44,-0.002195903543382797,0.018665657162658368,-0.0003090479262391315,0.005436523958637072,5
mlp,79,45,-0.001992312653793387,0.01895357659232058,-0.0003358069406255059,0.005411725966668212,5
mlp,79,46,-0.0017886461376599271,0.01924507530722837,-0.0003622386837431652,0.005387672302238033,5
mlp,79,48,-0.0013712889935201243,0.019830657932499607,-0.00041587314380981397,0.0053496687219339815,5
mlp,79,49,-0.0011554416481618242,0.020124448776477358,-0.00044120717533849014,0.005331807410027607,5
mlp,79,51,-0.0006770687471339777,0.02070198509253275,-0.00048084048451457924,0.00529594321023316,5
mlp,79,53,-0.00015577981720370503,0.02127049468511779,-0.0005142252470143532,0.005263856634298476,5
mlp,79,54,0.00011910986367950002,0.021533780864432164,-0.0005309319981433274,0.005249454081052485,5
mlp,79,56,0.0006852292517225383,0.022051553479027156,-0.0005587956158472034,0.005223012131093343,5
mlp,79,58,0.0012616590041009915,0.02254656354951966,-0.000583170829757276,0.0051947818713931485,5
mlp,79,59,0.0015591002322998648,0.022786127778298415,-0.0005938664181351271,0.005179603175635706,5
mlp,79,61,0.0021999149833710164,0.023223407619825363,-0.0006098972472690199,0.0051432460711434945,5
mlp,79,63,0.0028894651051697058,0.023607478092636358,-0.0006211810647463092,0.00509708310297778,5
mlp,79,65,0.003598337342747274,0.023928194943670773,-0.0006288303025356431,0.005054189274078892,5
mlp,79,67,0.004309755048060984,0.02418005492997515,-0.0006246227662901269,0.005013089454974906,5
mlp,79,69,0.005069857792017608,0.02440574261104402,-0.000612185743951496,0.00497300090247604,5
mlp,79,72,0.006341735416561013,0.024704675644223954,-0.0005936952117071159,0.0049227438104904285,5
mlp,79,74,0.0073234664260285725,0.024899949168540048,-0.0005857250011433984,0.00488592074335252,5
mlp,79,76,0.008381352287684204,0.025058275561916678,-0.0005916320193621691,0.004853712703920087,5
mlp,79,79,0.010111512161456055,0.025152894990592038,-0.0006220245324709944,0.004818897493809255,5
mlp,79,81,0.011383473756389585,0.025157622302589232,-0.0006426324343587831,0.004800457174888259,5
mlp,79,84,0.013509837578460276,0.02517630816373649,-0.0006857204680087034,0.0047831078791588195,5
