architecture,lambda_reg,seed,initial_classifier_pr,halfway_threshold,halfway_epoch,log_epoch_auc,final_classifier_pr,final_test_accuracy
rnn,0.7,3,9.552132486716022,5.776066243358011,140.0,2.0754259896941996,1.982232477474653,0.6411618590354919
rnn,0.7,4,7.340148325605565,4.670074162802782,200.0,2.3651780385862033,1.9776199192998007,0.7194473743438721
rnn,0.7,5,6.944784530905826,4.472392265452913,200.0,2.410698195114097,1.887942067746468,0.8625575304031372
rnn,1.0,1,7.517737461815952,4.758868730907976,190.0,2.237429386441995,1.994658133323757,0.7580587863922119
rnn,1.0,2,7.36838788563299,4.684193942816496,230.0,2.409092970219507,1.6928607713912691,0.7562876343727112
rnn,1.0,3,9.550090665213991,5.775045332606996,130.0,2.0318036444394805,1.984327775711458,0.6404533982276917
rnn,1.0,4,7.339621401599525,4.669810700799763,190.0,2.327231195453613,1.9845720485531329,0.6645412445068359
rnn,1.0,5,6.941562424213914,4.470781212106957,190.0,2.3616034244874236,1.897676128916806,0.8636202812194824
rnn,1.5,1,7.513146160068279,4.75657308003414,170.0,2.1805006051087212,1.9940535130456425,0.7555791735649109
rnn,1.5,2,7.362319432296464,4.6811597161482315,210.0,2.346921104728535,1.696239629925126,0.7577045559883118
rnn,1.5,3,9.5472497333346,5.7736248666673,110.0,1.9809367722422944,1.9812261764453625,0.6386822462081909
rnn,1.5,4,7.337911358382303,4.668955679191152,180.0,2.2768498792739265,1.9745428161776668,0.6758767366409302
rnn,1.5,5,6.937109381028473,4.468554690514237,170.0,2.2968016169537946,1.8940794319066567,0.8575983047485352
rnn,2.0,1,7.51038649103803,4.755193245519015,160.0,2.135820690496459,1.99400738485152,0.7644349932670593
rnn,2.0,2,7.356094532431102,4.67804726621555,190.0,2.2998152987456364,1.6877582180903268,0.7520368099212646
rnn,2.0,3,9.544616271764008,5.772308135882004,100.0,1.9463402229399522,1.985386249105536,0.6432873010635376
rnn,2.0,4,7.337007982577691,4.668503991288846,170.0,2.239284482160775,1.9767569892962296,0.6896917819976807
rnn,2.0,5,6.9333200031408335,4.466660001570417,160.0,2.24389427537417,1.8959355002147544,0.8547644019126892
rnn,3.0,1,7.507050150890703,4.753525075445351,150.0,2.0686352796955685,1.9940624109055936,0.7541622519493103
rnn,3.0,2,7.34597743110671,4.672988715553355,180.0,2.2269081862447795,1.7123797007222707,0.7516825795173645
rnn,3.0,3,9.542544753286968,5.771272376643484,85.0,1.898362145816297,1.9868201428410897,0.6347856521606445
rnn,3.0,4,7.334776816428566,4.667388408214283,150.0,2.178906711041718,1.971013219438764,0.6868579387664795
rnn,3.0,5,6.928462310080384,4.464231155040192,150.0,2.166060673948828,1.911548305216591,0.8558271527290344
transformer,0.01,1,8.33538711451643,5.167693557258215,270.0,2.6034294192271323,1.8381625390065328,0.875309944152832
transformer,0.01,2,8.565031595625339,5.282515797812669,310.0,2.544264228096434,1.7779569636675934,0.8703506588935852
transformer,0.01,3,8.366588051883243,5.183294025941621,270.0,2.5654900378905614,1.701200264700253,0.8473255038261414
transformer,0.01,4,9.80255686735716,5.90127843367858,250.0,2.4268271090032556,1.7503635062763672,0.8377612233161926
transformer,0.01,5,8.342367822288695,5.171183911144348,290.0,2.5136509796208903,1.968263896902664,0.8526390194892883
transformer,0.1,1,8.253920788156941,5.126960394078471,240.0,2.464988916571564,1.8454301167737288,0.8618490695953369
transformer,0.1,2,8.539391244978464,5.269695622489232,300.0,2.4743782607982814,1.7684232128760142,0.8781437873840332
transformer,0.1,3,8.356578840891085,5.178289420445543,260.0,2.4658919406341564,1.7059542439979272,0.8459085822105408
transformer,0.1,4,9.76044055782572,5.88022027891286,220.0,2.3222210250211326,1.739237048681428,0.836344301700592
transformer,0.1,5,8.277228952499376,5.138614476249688,270.0,2.433184479381548,1.963856894077376,0.8512220978736877
transformer,0.5,1,8.23876047930004,5.11938023965002,200.0,2.250763244456565,1.8355151865251524,0.8600779175758362
transformer,0.5,2,8.510241366487604,5.255120683243802,270.0,2.3823581995861898,1.762668814841409,0.8689337372779846
transformer,0.5,3,8.336529588331576,5.168264794165788,220.0,2.350254665924106,1.7242999476800212,0.8377612233161926
transformer,0.5,4,9.72724892618124,5.86362446309062,180.0,2.1947566587600607,1.7219103157928386,0.8462628126144409
transformer,0.5,5,8.269652117828938,5.134826058914469,240.0,2.3228037912758253,1.976326496268646,0.8622032999992371
transformer,0.7,1,8.23734170937216,5.11867085468608,180.0,2.2011966420069498,1.832304905737057,0.865037202835083
transformer,0.7,2,8.504869561239776,5.252434780619888,260.0,2.3576977502421417,1.762532389436178,0.8643287420272827
transformer,0.7,3,8.327798000182892,5.163899000091446,210.0,2.318737734241279,1.7049698157852875,0.8476797342300415
transformer,0.7,4,9.725683932649034,5.862841966324517,170.0,2.1618492322951113,1.7279397767565448,0.8409493565559387
transformer,0.7,5,8.269237656847242,5.134618828423621,230.0,2.2930696685108085,1.975320713744808,0.8636202812194824
transformer,1.0,1,8.236444861640143,5.1182224308200714,170.0,2.14613578733578,1.836991602651864,0.8714134097099304
transformer,1.0,2,8.500792337905978,5.250396168952989,250.0,2.3286095086811502,1.7555813039048422,0.8707048892974854
transformer,1.0,3,8.318009603503247,5.159004801751624,200.0,2.2832249477713047,1.7145623287122336,0.8356358408927917
transformer,1.0,4,9.72408215878645,5.862041079393225,160.0,2.124428137265456,1.7203450937211038,0.8420120477676392
transformer,1.0,5,8.268915027710667,5.134457513855334,220.0,2.2589481642267386,1.9747368333744293,0.8625575304031372
transformer,1.5,1,8.235922860272728,5.117961430136364,160.0,2.083107430114436,1.83191468968847,0.8668083548545837
transformer,1.5,2,8.494832538205802,5.247416269102901,240.0,2.2922827157740473,1.7601755367461822,0.8717676401138306
transformer,1.5,3,8.306417658010428,5.153208829005214,190.0,2.2404145004155884,1.7096255874741868,0.8526390194892883
transformer,1.5,4,9.7229004901401,5.86145024507005,150.0,2.0787408060825077,1.7276468937936784,0.8508678674697876
transformer,1.5,5,8.268883108341603,5.1344415541708015,200.0,2.2167553677517957,1.979533000457559,0.857244074344635
transformer,2.0,1,8.235720207567546,5.117860103783773,150.0,2.0377123119814993,1.8318493097493604,0.865037202835083
transformer,2.0,2,8.49187761196068,5.24593880598034,230.0,2.2644584603383344,1.7509747118844816,0.8735387921333313
transformer,2.0,3,8.300896620329917,5.1504483101649585,180.0,2.2061372933129535,1.7286932116388944,0.8395323753356934
transformer,2.0,4,9.722417451082835,5.861208725541418,140.0,2.044212793762454,1.717087874914374,0.8498051762580872
transformer,2.0,5,8.268835024252603,5.134417512126301,190.0,2.1855177597619297,1.970528903073807,0.8551186323165894
transformer,3.0,1,8.235691289982704,5.117845644991352,130.0,1.9734861010679559,1.8343907463272764,0.8692879676818848
transformer,3.0,2,8.488207351448091,5.244103675724046,210.0,2.220084369389583,1.7815902165724988,0.8848742246627808
transformer,3.0,3,8.293756368623955,5.146878184311977,170.0,2.1570499864585075,1.7050139811180978,0.8469712734222412
transformer,3.0,4,9.7220328653672,5.8610164326836,130.0,1.992121607831826,1.718237487660008,0.8462628126144409
transformer,3.0,5,8.268824907152435,5.134412453576218,180.0,2.1372273962617774,1.9717897881235804,0.8427205085754395
