architecture,lambda_reg,epoch,valid_seed_count,train_accuracy_mean,train_accuracy_std,test_accuracy_mean,test_accuracy_std,rank_regularizer_mean,rank_regularizer_std,classifier_participation_rank_mean,classifier_participation_rank_std,effective_mean_participation_rank_mean,effective_mean_participation_rank_std
rnn,2.0,10000,5,0.885453999042511,0.054611470924208545,0.7408430576324463,0.08030182258003976,5.4982674009805e-05,4.840262893813112e-05,1.9079688683116736,0.12919502233504349,2.6725055714875894,0.7406993882867938
rnn,3.0,10000,5,0.8848162770271302,0.058640597327755326,0.7366631150245666,0.08305336388503799,2.815527841448784e-05,1.7137203386839148e-05,1.915164755824862,0.11791230071718539,2.628086848037071,0.7259988090888628
transformer,0.01,10000,5,0.9719708442687989,0.004197709339889655,0.8566772699356079,0.015777499245940445,0.01035049529746168,0.003589349846242817,1.807189434110682,0.10273965060453097,5.696655075151838,1.2346127834125802
transformer,0.1,10000,5,0.9702399015426636,0.005053013551221189,0.8546935677528381,0.016023706235805926,0.0022285233484580598,0.0007539940070888072,1.8045803032812948,0.1028857562007904,5.617223495627807,1.206588813381396
transformer,0.5,10000,5,0.9691770434379577,0.013303734954856107,0.8550477981567383,0.012701616569983422,0.0002837040869053,0.00012104136687758563,1.8041441522216133,0.10664029006229352,5.364259983230239,0.8498166405507018
transformer,0.7,10000,5,0.9739447236061096,0.005422313233973474,0.8563230633735657,0.011228696557812976,0.00016677413514115506,7.24796685929896e-05,1.800613520291975,0.10886495199795342,5.241584017205986,0.748809155459756
transformer,1.0,10000,5,0.9708168745040894,0.009143310672380379,0.8564647436141968,0.016628965871254318,0.00010294783132847535,4.392836932122475e-05,1.8004434324728948,0.10899297772661386,5.311271825071978,0.6090092980103352
transformer,1.5,10000,5,0.9740661978721619,0.006064373528392506,0.8598653912544251,0.009081787502317215,6.525639546453021e-05,2.1719929208070927e-05,1.8017791416320155,0.10979903601240677,5.238754034400391,0.7471557328215859
transformer,2.0,10000,5,0.9696021795272827,0.01065102443655416,0.8566064357757568,0.01320773215865668,5.229564812907484e-05,2.265232533638375e-05,1.7998268022521835,0.1054240161860272,5.224979401846449,0.6066210869750771
transformer,3.0,10000,5,0.9696021795272827,0.003941052407786835,0.8580233573913574,0.018320048264252337,4.1283248174295294e-05,1.8275700643379154e-05,1.8022044439602922,0.10807003424128418,4.97431030211982,0.5496774623300842
